1	  -46.40	    3.02	    8.46	   -5.28	 1216.86	    3.42	    0.17	   -0.08	    1.63	  -62.42	   25.49	1
1	  -48.00	    3.02	    6.51	   -7.64	 3358.00	   10.08	    0.08	   -0.03	    1.67	  -61.46	   44.91	1
3	  -51.15	   19.02	    3.23	   -2.68	 4016.40	   16.58	    0.02	   -0.04	    2.07	  -58.67	   21.77	0
2	  -59.00	    3.02	    2.87	   -1.82	   22.43	    0.90	    0.06	   -0.04	    1.82	  -65.74	    8.28	0
1	  -49.29	   16.02	    2.72	   -2.80	 4904.30	   16.10	    0.03	   -0.01	    2.29	  -56.57	   19.78	0
1	  -47.00	    4.02	    0.08	  -13.27	  331.24	    0.98	    0.00	   -0.27	    1.79	  -64.03	   39.28	1
2	  -59.70	   25.02	    1.27	   -1.86	    3.01	    0.40	    0.03	   -0.04	    1.81	  -65.80	    5.34	0
1	  -49.26	    2.02	    4.68	   -7.18	 1877.15	    5.04	    0.09	   -0.05	    2.35	  -62.36	   27.43	1
4	  -48.81	   28.02	    5.21	   -1.19	 2002.86	    7.70	    0.03	   -0.02	    1.58	  -56.88	   11.14	0
2	  -59.11	    2.02	    1.33	   -2.12	   40.38	    1.74	    0.03	   -0.02	    1.89	  -64.59	    4.68	0
1	  -51.41	   21.02	    3.01	   -1.10	 4422.93	   22.34	    0.01	   -0.02	    1.60	  -56.42	   12.62	1
1	  -53.00	   26.02	    2.14	   -1.88	 1944.65	    7.88	    0.03	   -0.01	    2.27	  -64.09	   34.26	0
1	  -46.65	    1.02	    0.35	   -6.35	 1671.83	    3.94	    0.01	   -0.07	    2.32	  -64.84	   46.21	1
1	  -47.75	    7.02	    4.23	   -5.00	 3175.44	    8.12	    0.05	   -0.05	    1.94	  -60.63	   48.79	1
2	  -59.95	    6.02	    0.91	   -2.76	-6089.08	   23.04	    0.02	   -0.01	    2.93	  -64.73	    3.75	0
1	  -45.04	    1.02	    1.96	   -8.97	 1032.02	    2.52	    0.04	   -0.12	    2.02	  -63.56	   27.70	1
3	  -52.34	   19.02	    2.69	   -6.84	 2841.55	   10.88	    0.02	   -0.05	    2.67	  -61.03	   33.18	0
1	  -47.02	    4.02	    2.03	   -4.20	 2353.22	    6.86	    0.04	   -0.04	    1.36	  -60.59	   49.10	1
2	  -49.94	    7.02	    8.14	   -9.19	 2062.60	    7.06	    0.06	   -0.06	    1.73	  -60.83	   17.38	1
1	  -50.00	    3.02	    0.05	   -8.69	 1134.43	    3.10	    0.00	   -0.06	    3.48	  -62.61	   29.16	1
3	  -52.66	   15.02	    8.52	  -12.98	  711.01	    3.66	    0.05	   -0.26	    1.55	  -64.20	   18.87	1
5	  -47.00	   28.02	    5.14	    0.00	 4851.07	   12.08	    0.02	    0.00	    2.38	  -56.49	   24.12	0
1	  -47.70	    7.02	    2.19	  -10.89	 4888.84	   12.16	    0.02	   -0.04	    2.01	  -59.62	   52.76	1
2	  -50.20	    5.02	    5.72	   -3.54	 1860.55	    7.62	    0.05	   -0.05	    1.55	  -61.27	   19.09	1
3	  -54.12	   13.02	    1.37	   -1.89	 3262.51	   17.08	    0.01	   -0.02	    2.14	  -58.39	   12.97	0
1	  -47.80	    4.02	    7.55	   -4.60	 2974.15	    7.84	    0.08	   -0.05	    2.14	  -61.54	   36.14	1
2	  -47.53	    4.02	   10.00	   -8.33	 2540.34	    7.16	    0.07	   -0.07	    2.21	  -62.84	   36.17	1
2	  -56.79	    8.02	    5.27	   -4.31	  135.41	    1.66	    0.11	   -0.06	    1.82	  -66.48	    9.84	0
1	  -49.05	    3.02	    3.90	   -6.12	 1205.08	    3.36	    0.08	   -0.07	    1.88	  -62.71	   31.88	1
6	  -49.86	   11.02	    9.22	   -9.13	  861.91	    4.68	    0.07	   -0.12	    1.77	  -64.74	   21.85	1
1	  -49.65	    6.02	    2.13	   -7.47	 3549.05	   10.12	    0.02	   -0.03	    1.97	  -61.02	   56.43	1
5	  -51.55	   13.02	   13.09	  -14.96	  586.84	    2.08	    0.11	   -0.30	    2.21	  -64.04	   12.34	1
1	  -46.76	    3.02	    2.69	   -7.15	 1144.99	    3.04	    0.05	   -0.09	    1.50	  -64.18	   45.85	1
